"happines_score","gdp_per_capita"
4.49,0.57
4.461,0.921
4.456,0.562
4.437,1.043
4.39,0.385
4.374,0.268
4.366,0.949
4.36,0.71
4.35,0.35
4.332,0.82
4.286,0.336
4.189,0.332
4.166,0.913
4.107,0.578
4.085,0.275
4.015,0.755
3.975,0.073
3.933,0.274
3.775,0.046
3.663,0.366
3.597,0.323
3.488,1.041
3.41,0.191
3.38,0.287
3.334,0.359
3.231,0.476
3.203,0.35
7.632,1.305
7.594,1.456
7.555,1.351
7.495,1.343
7.487,1.42
7.441,1.361
7.328,1.33
7.324,1.268
7.314,1.355
7.272,1.34
7.19,1.244
7.139,1.341
7.072,1.01
6.977,1.448
6.965,1.34
6.927,1.324
6.91,1.576
6.886,1.398
6.814,1.301
6.774,2.096
6.627,1.27
6.489,1.293
6.488,1.038
6.476,1.131
6.43,1.112
6.419,0.986
6.388,1.073
6.382,0.781
6.379,1.093
6.371,1.379
6.343,1.529
6.322,1.161
6.31,1.251
6.26,0.96
6.173,1.21
6.167,0.806
6.141,0.668
6.123,1.176
6.105,1.338
6.096,0.719
6.083,1.474
6.072,1.016
6,1.264
5.973,0.889
5.952,1.197
5.948,1.219
5.945,1.116
5.933,1.148
5.915,1.294
5.891,1.09
5.89,0.819
5.81,1.151
5.79,1.143
5.762,1.229
5.752,0.751
5.739,1.2
5.681,0.835
5.663,0.934
5.662,0.855
5.64,0.657
5.636,1.016
5.62,1.171
5.566,0.985
5.524,0.775
5.504,0.62
5.483,1.039
5.483,1.148
5.472,0.652
5.41,1.188
5.398,0.975
5.358,0.965
5.358,1.154
5.347,1.017
5.321,1.115
5.302,0.982
5.295,0.979
5.254,0.779
5.246,0.989
5.201,1.024
5.199,0.474
5.161,0.822
5.155,0.689
5.131,0.53
5.129,0.915
5.125,0.914
5.103,0.715
5.093,0.899
4.975,0.535
4.933,1.054
4.88,0.425
4.806,0.996
4.758,1.036
4.724,0.94
4.707,1.059
4.657,0.592
4.631,0.429
4.592,0.9
4.586,0.916
4.571,0.256
4.5,0.532
4.471,0.918
4.456,1.01
4.447,0.37
4.433,0.549
4.424,0.314
4.419,0.885
4.41,0.493
4.377,0.562
4.356,0.557
4.35,0.308
4.34,0.853
4.321,0.816
4.308,0.682
4.301,0.358
4.19,0.721
4.166,0.131
4.161,0.322
4.141,0.378
4.103,0.793
3.999,0.259
3.964,0.344
3.774,0.262
3.692,0.357
3.632,0.332
3.59,1.017
3.587,0.186
3.582,0.315
3.495,0.076
3.408,0.332
3.355,0.442
3.303,0.455
2.905,0.091
7.526,1.44178
7.509,1.52733
7.501,1.42666
7.498,1.57744
7.413,1.40598
7.404,1.44015
7.339,1.46468
7.334,1.36066
7.313,1.44443
7.291,1.45181
7.267,1.33766
7.119,1.45038
7.104,1.50796
7.087,1.06879
6.994,1.44787
6.952,1.08754
6.929,1.42539
6.907,1.48341
6.871,1.69752
6.778,1.11508
6.739,1.64555
6.725,1.40283
6.705,1.2167
6.701,1.18306
6.65,1.15137
6.573,1.57352
6.545,1.18157
6.488,1.30782
6.481,1.03032
6.478,1.39488
6.474,1.0893
6.379,1.48953
6.361,1.34253
6.355,1.05266
6.324,0.83454
6.239,1.61714
6.218,1.44024
6.084,1.13367
6.078,1.27973
6.068,0.8737
6.005,1.25142
5.992,0.69384
5.987,0.73591
5.977,1.35495
5.976,0.97306
5.921,1.38007
5.919,1.22943
5.897,0.69177
5.856,1.23228
5.835,1.24585
5.822,0.79422
5.813,1.2692
5.802,1.13062
5.768,1.29947
5.743,0.99602
5.658,1.08017
5.648,1.14372
5.615,1.06688
5.56,1.21788
5.546,1.31857
5.538,0.89373
5.528,1.1697
5.517,1.27964
5.51,0.89333
5.488,1.18649
5.401,0.90145
5.389,1.16492
5.314,0.95104
5.303,0.99673
5.291,1.12373
5.279,0.81217
5.245,1.0278
5.185,0.56044
5.177,1.03437
5.163,0.93383
5.161,1.07838
5.155,1.02787
5.151,0.84058
5.145,1.24142
5.132,0.68816
5.129,1.12268
5.123,1.27607
5.061,0.74037
5.045,0.97724
5.033,1.24886
4.996,0.48835
4.907,0.98853
4.875,0.75216
4.871,0.69429
4.813,1.11758
4.795,0.61202
4.793,0.44626
4.655,0.9553
4.643,0.54177
4.635,0.36485
4.575,1.07474
4.513,0.52497
4.508,0.29283
4.459,1.02416
4.415,0.97318
4.404,0.74036
4.395,0.34112
4.362,0.95395
4.36,0.86086
4.356,0.52267
4.324,0.87287
4.276,0.63107
4.252,0.83792
4.219,0.44314
4.217,1.11306
4.201,0.61391
4.193,0.35041
4.156,0.08709
4.121,1.15851
4.073,0.31292
4.028,0.34097
3.974,1.09426
3.907,0.55604
3.856,0.1327
3.763,0.42214
3.739,0.31995
3.739,0.34719
3.724,0.57939
3.695,0.27954
3.666,0.47155
3.622,0.10706
3.607,0.22415
3.515,0.32846
3.484,0.39499
3.36,0.38227
3.303,0.28123
2.905,0.06831
7.808700085,1.285189509
7.645599842,1.326948524
7.559899807,1.39077425
7.504499912,1.326501608
7.487999916,1.42420733
7.448900223,1.338946342
7.353499889,1.322235227
7.299600124,1.242317915
7.294199944,1.317285538
7.237500191,1.536676049
7.23210001,1.301647663
7.222799778,1.310396433
7.164500237,1.273061037
7.128600121,1.216463685
7.121399879,0.981107712
7.093699932,1.446886778
7.075799942,1.314184546
6.939599991,1.37398684
6.863500118,1.295842767
6.790800095,1.431086421
6.772799969,1.252513289
6.663799763,1.268129349
6.465000153,1.024387479
6.440100193,1.071000457
6.406499863,1.334328532
6.400899887,1.230535269
6.398900032,0.753815711
6.38740015,1.236396074
6.377099991,1.519580126
6.375599861,0.952679873
6.363399982,1.208652496
6.34829998,0.748940408
6.325200081,0.840481341
6.304800034,1.097667813
6.280600071,1.194837689
6.257599831,0.696652949
6.228499889,1.096992493
6.227300167,1.296692252
6.215499878,1.193559647
6.186299801,1.16922915
6.163400173,0.93220371
6.15899992,1.21279943
6.13710022,0.620033145
6.123700142,1.120401621
6.102099895,1.424833655
6.101299763,1.07366395
6.057899952,1.122594237
6.021800041,1.192441225
6.006000042,0.775120676
6.000400066,1.164307117
